time,posNED_1,posNED_2,posNED_3,track_deg
9.05,22.4,0,-9.285,0
9.1,22.8,0,-9.27,0
9.15,23.2,0,-9.255,0
9.2,23.6,0,-9.24,0
9.25,24,0,-9.225,0
9.3,24.4,0,-9.21,0
9.35,24.8,0,-9.195,0
9.4,25.2,0,-9.18,0
9.45,25.6,0,-9.165,0
9.5,26,0,-9.15,0
9.55,26.4,0,-9.135,0
9.6,26.8,0,-9.12,0
9.65,27.2,0,-9.105,0
9.7,27.6,0,-9.09,0
9.75,28,0,-9.075,0
9.8,28.4,0,-9.06,0
9.85,28.8,0,-9.045,0
9.9,29.2,0,-9.03,0
9.95,29.6,0,-9.015,0
10,30,0,-9,0
